"","ssuid","monthly_childcare_expenditure","k_under2","k_3to5","k_6to10","METRO","reg_ratio","criminal_records","daycare_regulations","monthly_job_hrs","monthly_wage","monthly_earned_income","monthly_unearned_income","education","age","log_expenditure","H","F","d1","d2","d3"
"5603",881860021899,0,0,1,0,1,6,1,1,40,4000,4000,-3666.5,16,36.75,0,1,0,0,1,0
"5604",881860023829,0,1,0,0,1,6,1,1,0,0,0,0,14,21.6666666666667,0,0,0,1,0,0
"5605",881860034402,869.142857142857,0,1,0,1,5,1,1,40,5846.83333333333,5846.83333333333,-5349.34722222222,16,44.3333333333333,6.76750750432387,1,1,0,0,0
"5606",881860034925,999.514285714286,0,2,1,1,6,1,1,40,8737.91666666667,8737.91666666667,-8009.75694444445,16,35.25,6.90726944669903,1,1,0,0,0
"5607",881860037098,0,1,0,0,1,5,1,1,12.25,820.166666666667,820.166666666667,-733.763888888889,12,37.1666666666667,0,0,0,1,0,0
"5608",881860037431,651.857142857143,0,0,1,0,8,1,1,45,3924.75,5024.75,-4590.27083333333,16,39.9166666666667,6.47982543187209,1,1,0,0,0
"5609",881860037466,0,0,0,1,1,5,1,1,0,0,0,0,12,33,0,0,0,1,0,0
"5610",881860037549,977.785714285714,0,1,1,0,8,1,1,0,0,0,0,12,24.4166666666667,6.88529053998025,0,1,1,0,1
"5611",881860037891,130.371428571429,0,0,1,1,5,1,1,0,0,0,0,16,39.1666666666667,4.87038751943799,0,1,1,0,1
"5612",881860046061,1086.42857142857,0,1,0,1,6,1,1,21.3541666666667,2088.83333333333,2088.83333333333,-1957.625,13,28.25,6.99065105563808,1,1,0,0,0
"5613",881860046829,0,0,0,1,1,6,1,1,45,7256.91666666667,8256.91666666667,-7617.09027777778,16,44.9166666666667,0,1,0,0,1,0
"5614",881860049040,0,0,1,0,0,8,1,1,4.83333333333333,150,150,-132.916666666667,12,22.6666666666667,0,0,0,1,0,0
"5615",881860049046,869.142857142857,1,1,0,0,NA,1,2,24.6666666666667,2370.16666666667,2370.16666666667,-2164.48611111111,21,32.5833333333333,6.76750750432387,1,1,0,0,0
"5616",881860049596,0,0,0,2,0,8,1,1,10.3,0,0,-21.75,12,38.5,0,0,0,1,0,0
"5617",881860049632,0,1,0,0,1,5,1,1,0,0,0,0,14,26.25,0,0,0,1,0,0
"5618",881860049804,325.928571428571,0,0,2,0,8,1,1,32,1963.5,1963.5,-1799.875,12,43,5.78667825131214,1,1,0,0,0
"5619",881860049844,0,0,2,3,0,8,1,1,0,0,0,0,13,29.75,0,0,0,1,0,0
"5620",881860057085,0,1,0,1,1,6,1,1,0,0,0,0,16,28.1666666666667,0,0,0,1,0,0
"5621",881860057127,0,0,0,1,1,6,1,1,4.58333333333333,355,400.5,-339.666666666667,13,33.6666666666667,0,0,0,1,0,0
"5622",881860057232,0,2,0,0,1,6,1,1,0,0,0,152.777777777778,16,33.1666666666667,0,0,0,1,0,0
"5623",881860068127,0,1,0,0,1,6,1,1,14.75,1474.41666666667,1474.41666666667,-1320.99305555556,18,33.5833333333333,0,0,0,1,0,0
"5624",881860068172,0,1,1,0,0,5,1,1,0,0,0,0.0833333333333333,12,23.1666666666667,0,0,0,1,0,0
"5625",881860068198,369.385714285714,0,0,1,1,6,1,1,40,6400,6400,-5866.66666666667,18,50.5833333333333,5.91184139426615,1,1,0,0,0
